fileId,commitId,filePath,algorithm,startPos,isSrc,stmtType,srcStmtLine,dstStmtLine,stmt-inaccurate,token-inaccurate
101,7b05f4aed8845d4ccefce71eea438b81be10610e,hibernate-core/src/main/java/org/hibernate/dialect/unique/UniqueDelegate.java,gt,3356,0,MethodDeclaration,85,95,1,
101,7b05f4aed8845d4ccefce71eea438b81be10610e,hibernate-core/src/main/java/org/hibernate/dialect/unique/UniqueDelegate.java,mtdiff,3356,0,MethodDeclaration,-1,95,1,
101,7b05f4aed8845d4ccefce71eea438b81be10610e,hibernate-core/src/main/java/org/hibernate/dialect/unique/UniqueDelegate.java,ijm,3356,0,MethodDeclaration,85,95,1,
102,bd7605da01c9c5c5c2664eb007385c2bdbd82ef9,hibernate-core/src/main/java/org/hibernate/metamodel/source/internal/hbm/IdBagSourceImpl.java,gt,3770,1,FieldDeclaration,104,-1,0,1
102,bd7605da01c9c5c5c2664eb007385c2bdbd82ef9,hibernate-core/src/main/java/org/hibernate/metamodel/source/internal/hbm/IdBagSourceImpl.java,mtdiff,3770,1,FieldDeclaration,104,-1,0,0
103,eb60160109a47a2c5f2d0adc0ec720058cb8db59,cache-jbosscache2/src/main/java/org/hibernate/cache/jbc2/query/QueryResultsRegionImpl.java,gt,3529,1,Block,87,91,0,0
103,eb60160109a47a2c5f2d0adc0ec720058cb8db59,cache-jbosscache2/src/main/java/org/hibernate/cache/jbc2/query/QueryResultsRegionImpl.java,mtdiff,3529,1,Block,87,98,1,
104,3712e1ad7efccd2ba0c24b3d7d3b23f84d948b9d,hibernate-core/src/main/java/org/hibernate/loader/custom/sql/SQLQueryReturnProcessor.java,gt,14814,0,ExpressionStatement,390,386,0,0
104,3712e1ad7efccd2ba0c24b3d7d3b23f84d948b9d,hibernate-core/src/main/java/org/hibernate/loader/custom/sql/SQLQueryReturnProcessor.java,ijm,14814,0,ExpressionStatement,390,386,0,1
105,129530e464a406c97dcf3e0df31214f937449f53,hibernate-core/src/main/java/org/hibernate/proxy/pojo/bytebuddy/ByteBuddyProxyFactory.java,gt,1476,0,Block,160,42,1,
105,129530e464a406c97dcf3e0df31214f937449f53,hibernate-core/src/main/java/org/hibernate/proxy/pojo/bytebuddy/ByteBuddyProxyFactory.java,mtdiff,1476,0,Block,211,42,1,
105,129530e464a406c97dcf3e0df31214f937449f53,hibernate-core/src/main/java/org/hibernate/proxy/pojo/bytebuddy/ByteBuddyProxyFactory.java,ijm,1476,0,Block,-1,42,0,0
106,4fd933d526647661d3cc3c9e02c2a7c20679e393,hibernate-core/src/main/java/org/hibernate/loader/plan/exec/internal/LoadQueryJoinAndFetchProcessor.java,gt,13074,0,ThrowStatement,-1,309,0,0
106,4fd933d526647661d3cc3c9e02c2a7c20679e393,hibernate-core/src/main/java/org/hibernate/loader/plan/exec/internal/LoadQueryJoinAndFetchProcessor.java,mtdiff,13074,0,ThrowStatement,-1,309,0,1
107,3712e1ad7efccd2ba0c24b3d7d3b23f84d948b9d,hibernate-entitymanager/src/main/java/org/hibernate/ejb/criteria/CriteriaQueryCompiler.java,gt,12338,0,MethodDeclaration,372,370,0,1
107,3712e1ad7efccd2ba0c24b3d7d3b23f84d948b9d,hibernate-entitymanager/src/main/java/org/hibernate/ejb/criteria/CriteriaQueryCompiler.java,mtdiff,12338,0,MethodDeclaration,372,370,0,0
108,70e965d7500faed40ac9a6c2815cf009d08abca4,hibernate-core/src/test/java/org/hibernate/test/constraint/ConstraintTest.java,gt,5091,1,Block,124,99,1,
108,70e965d7500faed40ac9a6c2815cf009d08abca4,hibernate-core/src/test/java/org/hibernate/test/constraint/ConstraintTest.java,mtdiff,5091,1,Block,124,-1,0,0
109,220dad1a08140978b734b07d7ac1d445cda1f337,hibernate-core/src/main/java/org/hibernate/query/sqm/produce/function/internal/SelfRenderingFunctionSqlAstExpression.java,gt,2845,0,ReturnStatement,68,68,0,1
109,220dad1a08140978b734b07d7ac1d445cda1f337,hibernate-core/src/main/java/org/hibernate/query/sqm/produce/function/internal/SelfRenderingFunctionSqlAstExpression.java,mtdiff,2845,0,ReturnStatement,68,68,0,0
110,5acd232e10ec0632a66ee82e4f50350ff3ea6251,hibernate-osgi/src/main/java/org/hibernate/osgi/OsgiSessionFactoryService.java,gt,3463,0,ExpressionStatement,83,80,0,0
110,5acd232e10ec0632a66ee82e4f50350ff3ea6251,hibernate-osgi/src/main/java/org/hibernate/osgi/OsgiSessionFactoryService.java,ijm,3463,0,ExpressionStatement,83,80,0,1
111,79d02e2f9daa5dcbc78b6c07c08a0d0a4ea18623,hibernate-spatial/src/test/java/org/hibernate/spatial/TestStoreRetrieve.java,gt,3278,0,Block,96,100,0,1
111,79d02e2f9daa5dcbc78b6c07c08a0d0a4ea18623,hibernate-spatial/src/test/java/org/hibernate/spatial/TestStoreRetrieve.java,mtdiff,3278,0,Block,-1,100,1,
112,783831f113495edb32e41624ac930a4c45ac62ea,hibernate-core/src/main/java/org/hibernate/hql/internal/ast/tree/SelectClause.java,gt,4678,0,EnhancedForStatement,-1,151,0,1
112,783831f113495edb32e41624ac930a4c45ac62ea,hibernate-core/src/main/java/org/hibernate/hql/internal/ast/tree/SelectClause.java,mtdiff,4678,0,EnhancedForStatement,-1,151,0,0
112,783831f113495edb32e41624ac930a4c45ac62ea,hibernate-core/src/main/java/org/hibernate/hql/internal/ast/tree/SelectClause.java,ijm,4678,0,EnhancedForStatement,-1,151,0,1
113,b4a440e8d365c8cbc2bbce77cd9f89e009d761c4,hibernate-envers/src/main/java/org/hibernate/envers/entities/mapper/relation/lazy/AbstractDelegateSessionImplementor.java,gt,9497,1,MethodDeclaration,283,-1,0,0
113,b4a440e8d365c8cbc2bbce77cd9f89e009d761c4,hibernate-envers/src/main/java/org/hibernate/envers/entities/mapper/relation/lazy/AbstractDelegateSessionImplementor.java,mtdiff,9497,1,MethodDeclaration,283,275,1,
114,63a0f03c5ae773f96c92c02fba9d13133d02485b,hibernate-core/src/main/java/org/hibernate/boot/registry/classloading/internal/ClassLoaderServiceImpl.java,gt,10988,1,MethodDeclaration,373,-1,0,1
114,63a0f03c5ae773f96c92c02fba9d13133d02485b,hibernate-core/src/main/java/org/hibernate/boot/registry/classloading/internal/ClassLoaderServiceImpl.java,ijm,10988,1,MethodDeclaration,373,-1,0,0
115,cafb7a0323b8aa4a3313ac8b51515e55a941b0d5,core/src/main/java/org/hibernate/id/enhanced/TableGenerator.java,gt,15823,1,VariableDeclarationStatement,433,438,0,1
115,cafb7a0323b8aa4a3313ac8b51515e55a941b0d5,core/src/main/java/org/hibernate/id/enhanced/TableGenerator.java,mtdiff,15823,1,VariableDeclarationStatement,433,438,0,0
116,1f690e7aa6a5f4511084aac9526fe3e6812f2632,hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/packaging/PackagingTestCase.java,gt,12871,0,VariableDeclarationStatement,-1,344,0,0
116,1f690e7aa6a5f4511084aac9526fe3e6812f2632,hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/packaging/PackagingTestCase.java,mtdiff,12871,0,VariableDeclarationStatement,346,344,1,
117,5924a1b8c0f49a7e44011b7a703ad6846f17aad2,hibernate-entitymanager/src/main/java/org/hibernate/ejb/metamodel/AttributeFactory.java,gt,18871,1,ThrowStatement,503,513,0,0
117,5924a1b8c0f49a7e44011b7a703ad6846f17aad2,hibernate-entitymanager/src/main/java/org/hibernate/ejb/metamodel/AttributeFactory.java,ijm,18871,1,ThrowStatement,503,-1,1,
118,48cd1e2f81deecaa8be9cf4b660014653c14d727,hibernate-core/src/main/java/org/hibernate/metamodel/internal/Binder.java,gt,32255,1,Block,652,653,0,0
118,48cd1e2f81deecaa8be9cf4b660014653c14d727,hibernate-core/src/main/java/org/hibernate/metamodel/internal/Binder.java,mtdiff,32255,1,Block,652,671,1,
119,cdb1c9dda5bdd0f0aad6aac03952986db82c39d1,core/src/main/java/org/hibernate/param/DynamicFilterParameterSpecification.java,gt,2710,1,ExpressionStatement,69,84,0,1
119,cdb1c9dda5bdd0f0aad6aac03952986db82c39d1,core/src/main/java/org/hibernate/param/DynamicFilterParameterSpecification.java,mtdiff,2710,1,ExpressionStatement,69,78,1,0
119,cdb1c9dda5bdd0f0aad6aac03952986db82c39d1,core/src/main/java/org/hibernate/param/DynamicFilterParameterSpecification.java,ijm,2710,1,ExpressionStatement,69,84,0,1
120,9caca0ce37d5a2763d476c6fa2471addcca710ca,hibernate-entitymanager/src/main/java/org/hibernate/jpa/SchemaGenAction.java,gt,2596,1,IfStatement,82,91,0,1
120,9caca0ce37d5a2763d476c6fa2471addcca710ca,hibernate-entitymanager/src/main/java/org/hibernate/jpa/SchemaGenAction.java,mtdiff,2596,1,IfStatement,82,91,0,0
121,a711ff6c174daee83abaeeeb1f905fbf7cc6606a,backend/elasticsearch/src/main/java/org/hibernate/search/backend/elasticsearch/document/model/impl/IndexSchemaTypeNodeBuilder.java,gt,1095,0,ExpressionStatement,-1,30,0,0
121,a711ff6c174daee83abaeeeb1f905fbf7cc6606a,backend/elasticsearch/src/main/java/org/hibernate/search/backend/elasticsearch/document/model/impl/IndexSchemaTypeNodeBuilder.java,mtdiff,1095,0,ExpressionStatement,-1,30,0,1
122,906098e9c0f437934a19b3a22f7ef48eb276489d,engine/src/main/java/org/hibernate/search/backend/impl/WorkQueue.java,gt,1241,0,MethodDeclaration,41,41,0,0
122,906098e9c0f437934a19b3a22f7ef48eb276489d,engine/src/main/java/org/hibernate/search/backend/impl/WorkQueue.java,ijm,1241,0,MethodDeclaration,41,41,0,1
123,921f1b09b8cc64db706cca449c8b1d810b4ef3cb,engine/src/main/java/org/hibernate/search/indexes/impl/IndexManagerHolder.java,gt,7445,0,ExpressionStatement,158,177,0,0
123,921f1b09b8cc64db706cca449c8b1d810b4ef3cb,engine/src/main/java/org/hibernate/search/indexes/impl/IndexManagerHolder.java,ijm,7445,0,ExpressionStatement,-1,177,1,
124,62734df875ca07b09a0ee19092f7f0b0a0b0ba80,elasticsearch/src/main/java/org/hibernate/search/elasticsearch/impl/PathComponentExtractor.java,gt,1609,1,MethodDeclaration,55,43,1,
124,62734df875ca07b09a0ee19092f7f0b0a0b0ba80,elasticsearch/src/main/java/org/hibernate/search/elasticsearch/impl/PathComponentExtractor.java,ijm,1609,1,MethodDeclaration,55,-1,0,1
125,0614c79965164da378b43443bf57745a95523710,mapper/pojo/src/main/java/org/hibernate/search/mapper/pojo/mapping/building/impl/PojoIndexModelBinderImpl.java,gt,3727,0,ExpressionStatement,82,83,0,0
125,0614c79965164da378b43443bf57745a95523710,mapper/pojo/src/main/java/org/hibernate/search/mapper/pojo/mapping/building/impl/PojoIndexModelBinderImpl.java,mtdiff,3727,0,ExpressionStatement,82,83,0,1
125,0614c79965164da378b43443bf57745a95523710,mapper/pojo/src/main/java/org/hibernate/search/mapper/pojo/mapping/building/impl/PojoIndexModelBinderImpl.java,ijm,3727,0,ExpressionStatement,82,83,0,1
126,01441285c8fe5083bd5bba1626c44bda813cbf83,orm/src/main/java/org/hibernate/search/batchindexing/impl/OptionallyWrapInJTATransaction.java,gt,3870,0,ExpressionStatement,-1,85,0,0
126,01441285c8fe5083bd5bba1626c44bda813cbf83,orm/src/main/java/org/hibernate/search/batchindexing/impl/OptionallyWrapInJTATransaction.java,mtdiff,3870,0,ExpressionStatement,81,85,1,
