fileId,commitId,filePath,algorithm,startPos,isSrc,stmtType,srcStmtLine,dstStmtLine,stmt-inaccurate,token-inaccurate
89,8702a27155aebeb3851af0710cbb0befe7f160f5,src/java/org/apache/commons/math/ode/nonstiff/EmbeddedRungeKuttaIntegrator.java,ijm,8512,1,ForStatement,226,-1,0,0
90,6527a801c181090326f44bffef6709f898cae70b,src/main/java/org/apache/commons/math3/dfp/DfpField.java,gt,24359,1,ExpressionStatement,745,745,0,0
90,6527a801c181090326f44bffef6709f898cae70b,src/main/java/org/apache/commons/math3/dfp/DfpField.java,ijm,24359,1,ExpressionStatement,745,745,0,1
91,499bccaa0ed056b3737b7b89f5b83d2ffd58359b,src/org/spaceroots/mantissa/algebra/Polynomial.java,gt,27626,0,ReturnStatement,943,943,0,0
91,499bccaa0ed056b3737b7b89f5b83d2ffd58359b,src/org/spaceroots/mantissa/algebra/Polynomial.java,ijm,27626,0,ReturnStatement,943,943,0,1
92,0f9ce497b0c6841e3aca845336ad095012c41da7,src/main/java/org/apache/commons/math4/random/RandomUtils.java,gt,19597,1,VariableDeclarationStatement,482,482,0,1
92,0f9ce497b0c6841e3aca845336ad095012c41da7,src/main/java/org/apache/commons/math4/random/RandomUtils.java,mtdiff,19597,1,VariableDeclarationStatement,482,482,0,1
92,0f9ce497b0c6841e3aca845336ad095012c41da7,src/main/java/org/apache/commons/math4/random/RandomUtils.java,ijm,19597,1,VariableDeclarationStatement,482,482,0,1
93,9867d9f2817fd6dd20d458022de3dda8c3b43b2f,src/main/java/org/apache/commons/math4/distribution/ExponentialDistribution.java,gt,5603,1,MethodDeclaration,138,-1,0,1
93,9867d9f2817fd6dd20d458022de3dda8c3b43b2f,src/main/java/org/apache/commons/math4/distribution/ExponentialDistribution.java,mtdiff,5603,1,MethodDeclaration,138,-1,0,0
94,b883dcbc08044687bc037ed2170f18416893f7d0,src/main/java/org/apache/commons/math3/random/RandomData.java,gt,11170,1,MethodDeclaration,263,261,0,0
94,b883dcbc08044687bc037ed2170f18416893f7d0,src/main/java/org/apache/commons/math3/random/RandomData.java,ijm,11170,1,MethodDeclaration,263,241,1,1
95,443f4127282f4b758d4932b8c927aacd14aa2bae,src/main/java/org/apache/commons/math3/linear/FieldVector.java,gt,9541,1,MethodDeclaration,265,297,0,0
95,443f4127282f4b758d4932b8c927aacd14aa2bae,src/main/java/org/apache/commons/math3/linear/FieldVector.java,ijm,9541,1,MethodDeclaration,265,307,1,1
96,2925baa963da45b0db184a99cc30180dd251815f,src/test/java/org/apache/commons/math3/analysis/differentiation/DerivativeStructureTest.java,gt,28580,1,VariableDeclarationStatement,571,576,0,1
96,2925baa963da45b0db184a99cc30180dd251815f,src/test/java/org/apache/commons/math3/analysis/differentiation/DerivativeStructureTest.java,mtdiff,28580,1,VariableDeclarationStatement,571,576,0,1
96,2925baa963da45b0db184a99cc30180dd251815f,src/test/java/org/apache/commons/math3/analysis/differentiation/DerivativeStructureTest.java,ijm,28580,1,VariableDeclarationStatement,571,576,0,1
97,b1d38d9bf25d715d2eca86876baa360a2df356d3,src/main/java/org/apache/commons/math4/distribution/ParetoDistribution.java,gt,7628,1,Block,257,-1,1,0
97,b1d38d9bf25d715d2eca86876baa360a2df356d3,src/main/java/org/apache/commons/math4/distribution/ParetoDistribution.java,mtdiff,7628,1,Block,257,262,0,0
98,4474f96263e32ea0194ab21b63816bed8e4238e1,src/test/org/apache/commons/math/ode/nonstiff/ThreeEighthesIntegratorTest.java,gt,7373,1,VariableDeclarationStatement,203,201,0,0
98,4474f96263e32ea0194ab21b63816bed8e4238e1,src/test/org/apache/commons/math/ode/nonstiff/ThreeEighthesIntegratorTest.java,mtdiff,7373,1,VariableDeclarationStatement,203,201,0,1
99,0079828734d62dbc2b44ccf4f21e3dc1daa7b90b,src/main/java/org/apache/commons/math3/fitting/leastsquares/GaussNewtonOptimizer.java,gt,7627,0,ExpressionStatement,192,193,0,0
99,0079828734d62dbc2b44ccf4f21e3dc1daa7b90b,src/main/java/org/apache/commons/math3/fitting/leastsquares/GaussNewtonOptimizer.java,mtdiff,7627,0,ExpressionStatement,192,193,0,1
99,0079828734d62dbc2b44ccf4f21e3dc1daa7b90b,src/main/java/org/apache/commons/math3/fitting/leastsquares/GaussNewtonOptimizer.java,ijm,7627,0,ExpressionStatement,192,193,0,1
100,c733f8c42294f3b7d90469b7bb8a5f8f2531bbf8,src/main/java/org/apache/commons/math/optimization/general/NonLinearConjugateGradientOptimizer.java,gt,6135,1,VariableDeclarationStatement,147,147,0,0
100,c733f8c42294f3b7d90469b7bb8a5f8f2531bbf8,src/main/java/org/apache/commons/math/optimization/general/NonLinearConjugateGradientOptimizer.java,ijm,6135,1,VariableDeclarationStatement,147,147,0,1
